trial,seed,layers,hidden_size,dropout,learning_rate,batch_size,epochs_run,best_threshold,test_accuracy,test_precision,test_recall,test_f1,num_params,training_time_seconds
4,1803,8,64,0.2,0.0028,32,6,0.3500000000000001,0.3453333333333333,0.20349805663520268,0.9049382716049382,0.3322756119673617,190577,103.32959723472595
5,1804,8,64,0.2,0.0028,32,6,0.6200000000000001,0.7926666666666666,0.41136671177266576,0.3790523690773067,0.3945489941596366,190577,111.84764695167542
6,1805,8,64,0.2,0.0028,32,12,0.6500000000000001,0.7362222222222222,0.3333333333333333,0.5975773889636609,0.4279518072289157,190577,206.05270290374756
7,1806,8,64,0.2,0.0028,32,13,0.4600000000000001,0.4013333333333333,0.19683544303797468,0.7994858611825193,0.3158963941086846,190577,236.41869401931763
8,1807,8,64,0.2,0.0028,32,12,0.4800000000000001,0.43022222222222223,0.20724346076458752,0.7555012224938875,0.32526315789473687,190577,208.75804114341736
9,1808,8,64,0.2,0.0028,32,7,0.4800000000000001,0.33311111111111114,0.20005488474204172,0.894478527607362,0.3269791433056739,190577,127.76129508018494
10,1809,8,64,0.2,0.0028,32,6,0.55,0.6053333333333333,0.23030303030303031,0.5244667503136763,0.32006125574272587,190577,104.97216272354126
1,1900,9,64,0.2,0.0028,32,6,0.4800000000000001,0.47155555555555556,0.20503191888847164,0.6765799256505576,0.31469740634005766,215537,125.21909379959106
2,1901,9,64,0.2,0.0028,32,7,0.5200000000000001,0.61,0.23267605633802818,0.5124069478908189,0.320030995738086,215537,144.59971809387207
3,1902,9,64,0.2,0.0028,32,11,0.4700000000000001,0.3368888888888889,0.19391741071428573,0.879746835443038,0.3177869227251943,215537,232.10089421272278
4,1903,9,64,0.2,0.0028,32,11,0.4100000000000001,0.3388888888888889,0.2003869541182974,0.8983890954151177,0.327683615819209,215537,217.49130010604858
5,1904,9,64,0.2,0.0028,32,17,0.5200000000000001,0.44733333333333336,0.2069204152249135,0.7540983606557377,0.3247352701601955,215537,339.92692399024963
6,1905,9,64,0.2,0.0028,32,16,0.4600000000000001,0.614,0.24024526198439242,0.5354037267080746,0.33166602539438245,215537,321.246787071228
7,1906,9,64,0.2,0.0028,32,6,0.38000000000000006,0.3486666666666667,0.20442453094371324,0.8902439024390244,0.332498291960829,215537,113.23313307762146
8,1907,9,64,0.2,0.0028,32,12,0.44000000000000006,0.41688888888888886,0.2065848934796643,0.794044665012407,0.32786885245901637,215537,229.53803396224976
9,1908,9,64,0.2,0.0028,32,24,0.4200000000000001,0.3408888888888889,0.1995528228060369,0.875,0.324988620846609,215537,458.6437032222748
10,1909,9,64,0.2,0.0028,32,15,0.4100000000000001,0.32755555555555554,0.19534883720930232,0.8936170212765957,0.32061068702290074,215537,311.22116780281067
1,2000,10,64,0.2,0.0028,32,15,0.4800000000000001,0.6068888888888889,0.23055082339579785,0.4951219512195122,0.3146067415730337,240497,346.78505516052246
2,2001,10,64,0.2,0.0028,32,9,0.4200000000000001,0.3422222222222222,0.1982662192393736,0.8840399002493765,0.32389218821379623,240497,204.011620759964
3,2002,10,64,0.2,0.0028,32,6,0.4000000000000001,0.3462222222222222,0.2087729039422543,0.8909952606635071,0.33828160143949615,240497,135.8848488330841
4,2003,10,64,0.2,0.0028,32,18,0.44000000000000006,0.4151111111111111,0.20686337395766516,0.8022388059701493,0.3289138194798572,240497,390.85605001449585
5,2004,10,64,0.2,0.0028,32,19,0.4900000000000001,0.408,0.2072357981593145,0.7973137973137974,0.32896725440806046,240497,411.4398720264435
6,2005,10,64,0.2,0.0028,32,8,0.45000000000000007,0.37377777777777776,0.20416666666666666,0.8265060240963855,0.32744630071599046,240497,173.66856598854065
7,2006,10,64,0.2,0.0028,32,19,0.4200000000000001,0.4802222222222222,0.21807909604519773,0.6876484560570071,0.3311409779811267,240497,417.9553909301758
8,2007,10,64,0.2,0.0028,32,10,0.43000000000000005,0.38555555555555554,0.22365717640152627,0.8639455782312925,0.35532758218698995,240497,220.34885597229004
9,2008,10,64,0.2,0.0028,32,17,0.4900000000000001,0.4102222222222222,0.20905375668028922,0.8281444582814446,0.33383534136546184,240497,367.80935978889465
10,2009,10,64,0.2,0.0028,32,6,0.5000000000000001,0.4288888888888889,0.202167287504233,0.7361282367447596,0.31721572794899044,240497,130.22370028495789
